name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,,,,,,,,,
Eastern Michigan,6,4,1,33,57,-23, ['Louisiana (5 - 5)', 'Arizona State (3 - 7)', 'Buffalo (5 - 5)', 'UMass (1 - 9)', 'Western Michigan (3 - 7)', 'Northern Illinois (3 - 7)', 'Ball State (5 - 5)', 'Toledo (7 - 3)', 'Akron (1 - 9)'],,,,,,,,
Connecticut,6,5,1,55,45,-58, ['Utah State (5 - 5)', 'Syracuse (6 - 4)', 'Michigan (10 - 0)', 'NC State (7 - 3)', 'Fresno State (6 - 4)', 'Florida International (4 - 6)', 'Ball State (5 - 5)', 'Boston College (3 - 7)', 'UMass (1 - 9)', 'Liberty (8 - 2)'],,,,,,,
North Texas,6,5,1,50,50,49, ['UTEP (4 - 6)', 'SMU (6 - 4)', 'UNLV (4 - 6)', 'Memphis (5 - 5)', 'Florida Atlantic (4 - 5)', 'Louisiana Tech (3 - 7)', 'UT San Antonio (8 - 2)', 'Western Kentucky (7 - 4)', 'Florida International (4 - 6)', 'UAB (5 - 5)'],,,,,,,
Marshall,5,4,2,43,26,71, ['Notre Dame (7 - 3)', 'Bowling Green (5 - 5)', 'Troy (8 - 2)', 'Louisiana (5 - 5)', 'James Madison (6 - 3)', 'Coastal Carolina (9 - 1)', 'Old Dominion (3 - 7)'],,,,,,,,,,
Appalachian State,5,4,2,42,27,95, ['North Carolina (9 - 1)', 'Texas A&M (3 - 7)', 'Troy (8 - 2)', 'James Madison (6 - 3)', 'Texas State (3 - 7)', 'Georgia State (4 - 6)', 'Coastal Carolina (9 - 1)'],,,,,,,,,,
Michigan State,5,5,0,61,39,-9, ['Western Michigan (3 - 7)', 'Akron (1 - 9)', 'Washington (8 - 2)', 'Minnesota (7 - 3)', 'Maryland (6 - 4)', 'Ohio State (10 - 0)', 'Wisconsin (5 - 5)', 'Michigan (10 - 0)', 'Illinois (7 - 3)', 'Rutgers (4 - 6)'],,,,,,,
BYU,5,5,0,60,40,-12, ['South Florida (1 - 9)', 'Baylor (6 - 4)', 'Oregon (8 - 2)', 'Wyoming (7 - 3)', 'Utah State (5 - 5)', 'Notre Dame (7 - 3)', 'Arkansas (5 - 5)', 'Liberty (8 - 2)', 'East Carolina (6 - 4)', 'Boise State (7 - 3)'],,,,,,,
Oklahoma,5,5,0,54,46,28, ['UTEP (4 - 6)', 'Kent State (4 - 6)', 'Nebraska (3 - 7)', 'Kansas State (7 - 3)', 'TCU (10 - 0)', 'Texas (6 - 4)', 'Kansas (6 - 4)', 'Iowa State (4 - 6)', 'Baylor (6 - 4)', 'West Virginia (4 - 6)'],,,,,,,
Memphis,5,5,0,52,49,37, ['Mississippi State (6 - 4)', 'Navy (3 - 7)', 'Arkansas State (3 - 7)', 'North Texas (6 - 5)', 'Temple (3 - 7)', 'Houston (6 - 4)', 'East Carolina (6 - 4)', 'Tulane (8 - 2)', 'UCF (8 - 2)', 'Tulsa (3 - 7)'],,,,,,,
Texas Tech,5,5,1,59,31,42, ['Houston (6 - 4)', 'NC State (7 - 3)', 'Texas (6 - 4)', 'Kansas State (7 - 3)', 'Oklahoma State (7 - 3)', 'West Virginia (4 - 6)', 'Baylor (6 - 4)', 'TCU (10 - 0)', 'Kansas (6 - 4)'],,,,,,,,
Arkansas,5,5,1,56,34,10, ['Cincinnati (8 - 2)', 'South Carolina (6 - 4)', 'Texas A&M (3 - 7)', 'Alabama (8 - 2)', 'Mississippi State (6 - 4)', 'BYU (5 - 5)', 'Auburn (4 - 6)', 'Liberty (8 - 2)', 'LSU (8 - 2)'],,,,,,,,
Southern Mississippi,5,5,1,53,37,6, ['Liberty (8 - 2)', 'Miami (5 - 5)', 'Tulane (8 - 2)', 'Troy (8 - 2)', 'Arkansas State (3 - 7)', 'Texas State (3 - 7)', 'Louisiana (5 - 5)', 'Georgia State (4 - 6)', 'Coastal Carolina (9 - 1)'],,,,,,,,
Wisconsin,5,5,1,51,39,78, ['Washington State (6 - 4)', 'New Mexico State (4 - 6)', 'Ohio State (10 - 0)', 'Illinois (7 - 3)', 'Northwestern (1 - 9)', 'Michigan State (5 - 5)', 'Purdue (6 - 4)', 'Maryland (6 - 4)', 'Iowa (6 - 4)'],,,,,,,,
UAB,5,5,1,50,42,107, ['Liberty (8 - 2)', 'Georgia Southern (5 - 5)', 'Rice (5 - 5)', 'Middle Tennessee (5 - 5)', 'Charlotte (2 - 9)', 'Western Kentucky (7 - 4)', 'Florida Atlantic (4 - 5)', 'UT San Antonio (8 - 2)', 'North Texas (6 - 5)'],,,,,,,,
Louisiana,5,5,1,49,40,54, ['Eastern Michigan (6 - 4)', 'Rice (5 - 5)', 'Louisiana Monroe (4 - 6)', 'South Alabama (8 - 2)', 'Marshall (5 - 4)', 'Arkansas State (3 - 7)', 'Southern Mississippi (5 - 5)', 'Troy (8 - 2)', 'Georgia Southern (5 - 5)'],,,,,,,,
Buffalo,5,5,1,49,41,24, ['Maryland (6 - 4)', 'Coastal Carolina (9 - 1)', 'Eastern Michigan (6 - 4)', 'Miami (OH) (4 - 6)', 'Bowling Green (5 - 5)', 'UMass (1 - 9)', 'Toledo (7 - 3)', 'Ohio (7 - 3)', 'Central Michigan (4 - 6)'],,,,,,,,
Georgia Southern,5,5,1,48,41,26, ['Nebraska (3 - 7)', 'UAB (5 - 5)', 'Ball State (5 - 5)', 'Coastal Carolina (9 - 1)', 'Georgia State (4 - 6)', 'James Madison (6 - 3)', 'Old Dominion (3 - 7)', 'South Alabama (8 - 2)', 'Louisiana (5 - 5)'],,,,,,,,
Ball State,5,5,1,47,44,-29, ['Tennessee (9 - 1)', 'Western Michigan (3 - 7)', 'Georgia Southern (5 - 5)', 'Northern Illinois (3 - 7)', 'Central Michigan (4 - 6)', 'Connecticut (6 - 5)', 'Eastern Michigan (6 - 4)', 'Kent State (4 - 6)', 'Toledo (7 - 3)'],,,,,,,,
Miami,5,5,1,45,45,18, ['Southern Mississippi (5 - 5)', 'Texas A&M (3 - 7)', 'Middle Tennessee (5 - 5)', 'North Carolina (9 - 1)', 'Virginia Tech (2 - 8)', 'Duke (7 - 3)', 'Virginia (3 - 7)', 'Florida State (7 - 3)', 'Georgia Tech (4 - 6)'],,,,,,,,
Rice,5,5,1,45,46,-64, ['USC (9 - 1)', 'Louisiana (5 - 5)', 'Houston (6 - 4)', 'UAB (5 - 5)', 'Florida Atlantic (4 - 5)', 'Louisiana Tech (3 - 7)', 'Charlotte (2 - 9)', 'UTEP (4 - 6)', 'Western Kentucky (7 - 4)'],,,,,,,,
