name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents
Wisconsin, 4, 4, 1, 31, 26, 79, ['Washington State (4 - 4)', 'New Mexico State (3 - 6)', 'Ohio State (8 - 0)', 'Illinois (7 - 1)', 'Northwestern (1 - 7)', 'Michigan State (3 - 5)', 'Purdue (5 - 3)']
Middle Tennessee, 4, 4, 1, 30, 27, -14, ['James Madison (5 - 2)', 'Colorado State (2 - 6)', 'Miami (4 - 4)', 'UT San Antonio (6 - 2)', 'UAB (4 - 4)', 'Western Kentucky (5 - 4)', 'UTEP (4 - 5)']
UAB, 4, 4, 1, 30, 28, 93, ['Liberty (7 - 1)', 'Georgia Southern (5 - 3)', 'Rice (4 - 4)', 'Middle Tennessee (4 - 4)', 'Charlotte (2 - 7)', 'Western Kentucky (5 - 4)', 'Florida Atlantic (3 - 5)']
Miami, 4, 4, 1, 29, 27, 39, ['Southern Mississippi (5 - 3)', 'Texas A&M (3 - 5)', 'Middle Tennessee (4 - 4)', 'North Carolina (7 - 1)', 'Virginia Tech (2 - 6)', 'Duke (5 - 3)', 'Virginia (3 - 5)']
UNLV, 4, 4, 1, 29, 28, -14, ['California (3 - 5)', 'North Texas (5 - 4)', 'Utah State (3 - 5)', 'New Mexico (2 - 6)', 'San José State (6 - 2)', 'Air Force (5 - 3)', 'Notre Dame (5 - 3)']
Ball State, 4, 4, 1, 29, 29, -29, ['Tennessee (8 - 0)', 'Western Michigan (3 - 5)', 'Georgia Southern (5 - 3)', 'Northern Illinois (2 - 6)', 'Central Michigan (2 - 6)', 'Connecticut (4 - 5)', 'Eastern Michigan (5 - 4)']
San Diego State, 4, 4, 1, 29, 30, -20, ['Arizona (3 - 5)', 'Utah (6 - 2)', 'Toledo (6 - 3)', 'Boise State (6 - 2)', "Hawai'i (2 - 7)", 'Nevada (2 - 7)', 'Fresno State (4 - 4)']
Louisiana, 4, 4, 1, 28, 30, 41, ['Eastern Michigan (5 - 4)', 'Rice (4 - 4)', 'Louisiana Monroe (2 - 6)', 'South Alabama (6 - 2)', 'Marshall (4 - 4)', 'Arkansas State (2 - 7)', 'Southern Mississippi (5 - 3)']
Bowling Green, 4, 4, 1, 28, 30, -66, ['UCLA (7 - 1)', 'Marshall (4 - 4)', 'Mississippi State (5 - 3)', 'Akron (1 - 8)', 'Buffalo (5 - 3)', 'Miami (OH) (4 - 5)', 'Central Michigan (2 - 6)']
Rutgers, 4, 4, 1, 27, 29, -19, ['Boston College (2 - 6)', 'Temple (2 - 6)', 'Iowa (4 - 4)', 'Ohio State (8 - 0)', 'Nebraska (3 - 5)', 'Indiana (3 - 5)', 'Minnesota (5 - 3)']
Rice, 4, 4, 1, 27, 30, -36, ['USC (7 - 1)', 'Louisiana (4 - 4)', 'Houston (5 - 3)', 'UAB (4 - 4)', 'Florida Atlantic (3 - 5)', 'Louisiana Tech (2 - 6)', 'Charlotte (2 - 7)']
Florida International, 4, 4, 1, 25, 35, -101, ['Texas State (3 - 5)', 'Western Kentucky (5 - 4)', 'New Mexico State (3 - 6)', 'Connecticut (4 - 5)', 'UT San Antonio (6 - 2)', 'Charlotte (2 - 7)', 'Louisiana Tech (2 - 6)']
Marshall, 4, 4, 2, 31, 16, 59, ['Notre Dame (5 - 3)', 'Bowling Green (4 - 4)', 'Troy (6 - 2)', 'Louisiana (4 - 4)', 'James Madison (5 - 2)', 'Coastal Carolina (7 - 1)']
BYU, 4, 5, 0, 45, 29, -15, ['South Florida (1 - 7)', 'Baylor (5 - 3)', 'Oregon (7 - 1)', 'Wyoming (6 - 3)', 'Utah State (3 - 5)', 'Notre Dame (5 - 3)', 'Arkansas (5 - 3)', 'Liberty (7 - 1)', 'East Carolina (6 - 3)']
UTEP, 4, 5, 0, 32, 43, -55, ['North Texas (5 - 4)', 'Oklahoma (5 - 3)', 'New Mexico State (3 - 6)', 'New Mexico (2 - 6)', 'Boise State (6 - 2)', 'Charlotte (2 - 7)', 'Louisiana Tech (2 - 6)', 'Florida Atlantic (3 - 5)', 'Middle Tennessee (4 - 4)']
Connecticut, 4, 5, 1, 37, 27, -78, ['Utah State (3 - 5)', 'Syracuse (6 - 2)', 'Michigan (8 - 0)', 'NC State (6 - 2)', 'Fresno State (4 - 4)', 'Florida International (4 - 4)', 'Ball State (4 - 4)', 'Boston College (2 - 6)']
Miami (OH), 4, 5, 1, 28, 37, -18, ['Kentucky (5 - 3)', 'Cincinnati (6 - 2)', 'Northwestern (1 - 7)', 'Buffalo (5 - 3)', 'Kent State (3 - 5)', 'Bowling Green (4 - 4)', 'Western Michigan (3 - 5)', 'Akron (1 - 8)']
Army, 3, 4, 2, 24, 16, 23, ['Coastal Carolina (7 - 1)', 'UT San Antonio (6 - 2)', 'Georgia State (3 - 5)', 'Wake Forest (6 - 2)', 'Louisiana Monroe (2 - 6)']
Michigan State, 3, 5, 0, 41, 24, -23, ['Western Michigan (3 - 5)', 'Akron (1 - 8)', 'Washington (6 - 2)', 'Minnesota (5 - 3)', 'Maryland (6 - 2)', 'Ohio State (8 - 0)', 'Wisconsin (4 - 4)', 'Michigan (8 - 0)']
